Idade;Começo;# Respostas Corretas;Percentil;Resposta Esperada;Resposta Dada;Tempo;Validez
22;23/11/2016 10:51:58;1;1;4;1;659;INVÁLIDO
22;23/11/2016 10:51:58;1;1;5;2;103;INVÁLIDO
22;23/11/2016 10:51:58;1;1;1;3;31;INVÁLIDO
22;23/11/2016 10:51:58;1;1;2;4;191;INVÁLIDO
22;23/11/2016 10:51:58;1;1;6;5;106;INVÁLIDO
22;23/11/2016 10:51:58;1;1;3;6;25;INVÁLIDO
22;23/11/2016 10:51:58;1;1;6;1;268;INVÁLIDO
22;23/11/2016 10:51:58;1;1;2;2;96;INVÁLIDO
22;23/11/2016 10:51:58;1;1;1;3;37;INVÁLIDO
22;23/11/2016 10:51:58;1;1;3;4;217;INVÁLIDO
22;23/11/2016 10:51:58;1;1;4;5;104;INVÁLIDO
22;23/11/2016 10:51:58;1;1;4;6;50;INVÁLIDO
22;23/11/2016 10:51:58;1;1;4;1;274;INVÁLIDO
22;23/11/2016 10:51:58;1;1;5;2;80;INVÁLIDO
22;23/11/2016 10:51:58;1;1;1;3;52;INVÁLIDO
22;23/11/2016 10:51:58;1;1;6;4;199;INVÁLIDO
22;23/11/2016 10:51:58;1;1;2;5;126;INVÁLIDO
22;23/11/2016 10:51:58;1;1;1;6;24;INVÁLIDO
