Começo	# Respostas Corretas	Percentil	Resposta Dada	Tempo
31/08/2016 16:03:07	8	1	4	3155
31/08/2016 16:03:07	8	1	5	1041
31/08/2016 16:03:07	8	1	1	1074
31/08/2016 16:03:07	8	1	2	1019
31/08/2016 16:03:07	8	1	6	2537
31/08/2016 16:03:07	8	1	3	1258
31/08/2016 16:03:07	8	1	6	1754
31/08/2016 16:03:07	8	1	3	650
31/08/2016 16:03:07	8	1	3	777
31/08/2016 16:03:07	8	1	3	398
31/08/2016 16:03:07	8	1	3	222
31/08/2016 16:03:07	8	1	3	293
31/08/2016 16:03:07	8	1	3	265
31/08/2016 16:03:07	8	1	3	276
31/08/2016 16:03:07	8	1	3	285
31/08/2016 16:03:07	8	1	3	295
31/08/2016 16:03:07	8	1	3	186
31/08/2016 16:03:07	8	1	3	315
