Começo	# Respostas Corretas	Percentil	Resposta Dada	Tempo
08/08/2016 09:28:15	2	1	3	1166
08/08/2016 09:28:15	2	1	3	372
08/08/2016 09:28:15	2	1	3	300
08/08/2016 09:28:15	2	1	3	306
08/08/2016 09:28:15	2	1	3	278
08/08/2016 09:28:15	2	1	3	323
08/08/2016 09:28:15	2	1	3	300
08/08/2016 09:28:15	2	1	3	385
08/08/2016 09:28:15	2	1	3	654
08/08/2016 09:28:15	2	1	3	663
08/08/2016 09:28:15	2	1	3	708
08/08/2016 09:28:15	2	1	3	696
08/08/2016 09:28:15	2	1	3	693
08/08/2016 09:28:15	2	1	3	706
08/08/2016 09:28:15	2	1	3	720
08/08/2016 09:28:15	2	1	3	688
08/08/2016 09:28:15	2	1	3	741
08/08/2016 09:28:15	2	1	3	710
