Começo;# Respostas Corretas;Percentil;Resposta Esperada;Resposta Dada;Tempo
25/10/2016 15:41:52;16;5;4;4;5341
25/10/2016 15:41:52;16;5;5;5;4758
25/10/2016 15:41:52;16;5;1;1;58754
25/10/2016 15:41:52;16;5;2;3;12833
25/10/2016 15:41:52;16;5;6;6;4807
25/10/2016 15:41:52;16;5;3;3;4072
25/10/2016 15:41:52;16;5;6;6;4111
25/10/2016 15:41:52;16;5;2;2;4561
25/10/2016 15:41:52;16;5;1;1;6061
25/10/2016 15:41:52;16;5;3;3;6513
25/10/2016 15:41:52;16;5;4;4;6379
25/10/2016 15:41:52;16;5;4;5;8800
25/10/2016 15:41:52;16;5;4;4;9831
25/10/2016 15:41:52;16;5;5;5;5123
25/10/2016 15:41:52;16;5;1;1;5383
25/10/2016 15:41:52;16;5;6;6;3184
25/10/2016 15:41:52;16;5;2;2;3962
25/10/2016 15:41:52;16;5;1;1;5830
