Começo	# Respostas Corretas	Percentil	Resposta Dada	Tempo
31/08/2016 16:39:15	7	1	4	1391
31/08/2016 16:39:15	7	1	5	1066
31/08/2016 16:39:15	7	1	1	954
31/08/2016 16:39:15	7	1	3	555
31/08/2016 16:39:15	7	1	3	843
31/08/2016 16:39:15	7	1	3	792
31/08/2016 16:39:15	7	1	3	627
31/08/2016 16:39:15	7	1	3	547
31/08/2016 16:39:15	7	1	3	540
31/08/2016 16:39:15	7	1	3	486
31/08/2016 16:39:15	7	1	3	737
31/08/2016 16:39:15	7	1	3	886
31/08/2016 16:39:15	7	1	3	550
31/08/2016 16:39:15	7	1	3	534
31/08/2016 16:39:15	7	1	3	804
31/08/2016 16:39:15	7	1	3	607
31/08/2016 16:39:15	7	1	3	524
31/08/2016 16:39:15	7	1	3	531
31/08/2016 16:39:15	7	1	3	563
31/08/2016 16:39:15	7	1	3	518
31/08/2016 16:39:15	7	1	3	507
31/08/2016 16:39:15	7	1	3	488
31/08/2016 16:39:15	7	1	3	524
31/08/2016 16:39:15	7	1	3	474
