Começo	# Respostas Corretas	Percentil	Resposta Dada	Tempo
17/08/2016 14:34:15	2	1	1	2190
17/08/2016 14:34:15	2	1	2	71
17/08/2016 14:34:15	2	1	3	71
17/08/2016 14:34:15	2	1	4	336
17/08/2016 14:34:15	2	1	5	100
17/08/2016 14:34:15	2	1	6	57
17/08/2016 14:34:15	2	1	1	292
17/08/2016 14:34:15	2	1	2	102
17/08/2016 14:34:15	2	1	3	57
17/08/2016 14:34:15	2	1	4	228
17/08/2016 14:34:15	2	1	5	102
17/08/2016 14:34:15	2	1	6	38
17/08/2016 14:34:15	2	1	1	258
17/08/2016 14:34:15	2	1	2	71
17/08/2016 14:34:15	2	1	3	68
17/08/2016 14:34:15	2	1	4	244
17/08/2016 14:34:15	2	1	5	101
17/08/2016 14:34:15	2	1	6	39
17/08/2016 14:34:15	2	1	1	304
17/08/2016 14:34:15	2	1	2	55
17/08/2016 14:34:15	2	1	3	58
17/08/2016 14:34:15	2	1	4	446
17/08/2016 14:34:15	2	1	5	97
17/08/2016 14:34:15	2	1	6	24
17/08/2016 14:34:15	2	1	1	485
17/08/2016 14:34:15	2	1	2	74
17/08/2016 14:34:15	2	1	3	522
17/08/2016 14:34:15	2	1	4	368
17/08/2016 14:34:15	2	1	5	307
17/08/2016 14:34:15	2	1	6	180
17/08/2016 14:34:15	2	1	1	416
17/08/2016 14:34:15	2	1	2	183
17/08/2016 14:34:15	2	1	3	166
17/08/2016 14:34:15	2	1	4	354
17/08/2016 14:34:15	2	1	5	246
17/08/2016 14:34:15	2	1	6	106
